Date,Temperature [Fahrenheit],DewPoint [Fahrenheit],Humidity [%],SeaLevelPressure [inches],Wind [mph],DayOfWeek,Month
2013-12-21,60,49.0,75.0,29.68,4.0,5,12
2013-12-22,48,36.0,68.0,30.13,6.0,6,12
2013-12-23,45,27.0,52.0,30.49,3.0,0,12
2013-12-24,46,28.0,56.0,30.45,4.0,1,12
2013-12-25,50,40.0,71.0,30.33,2.0,2,12
2013-12-26,48,36.0,63.0,30.4,3.0,3,12
2013-12-27,53,39.0,65.0,30.39,1.0,4,12
2013-12-28,51,39.0,64.0,30.17,2.0,5,12
2013-12-29,50,41.0,76.0,30.1,5.0,6,12
2013-12-30,40,26.0,60.0,30.33,5.0,0,12
2013-12-31,46,28.0,54.0,30.39,1.0,1,12
2014-01-01,54,42.0,68.0,30.11,4.0,2,1
2014-01-02,44,26.0,55.0,30.37,8.0,3,1
2014-01-03,43,22.0,49.0,30.35,4.0,4,1
2014-01-04,57,48.0,68.0,29.95,7.0,5,1
2014-01-05,47,32.0,59.0,30.08,10.0,6,1
2014-01-06,29,8.0,38.0,30.68,7.0,0,1
2014-01-07,35,11.0,43.0,30.52,5.0,1,1
2014-01-08,47,45.0,75.0,30.2,1.0,2,1
2014-01-09,62,55.0,80.0,30.11,3.0,3,1
2014-01-10,65,61.0,81.0,29.87,6.0,4,1
2014-01-11,62,37.0,53.0,30.06,3.0,5,1
2014-01-12,57,47.0,68.0,30.01,4.0,6,1
2014-01-13,57,36.0,51.0,30.01,7.0,0,1
2014-01-14,57,25.0,41.0,30.13,5.0,1,1
2014-01-15,52,23.0,35.0,30.33,4.0,2,1
2014-01-16,56,27.0,38.0,30.13,4.0,3,1
2014-01-17,54,20.0,31.0,30.29,5.0,4,1
2014-01-18,54,33.0,45.0,30.19,2.0,5,1
2014-01-19,59,30.0,39.0,30.22,3.0,6,1
2014-01-20,64,36.0,44.0,30.0,5.0,0,1
2014-01-21,51,23.0,39.0,30.31,6.0,1,1
2014-01-22,54,27.0,45.0,30.11,4.0,2,1
2014-01-23,42,29.0,64.0,30.47,9.0,3,1
2014-01-24,33,17.0,60.0,30.63,5.0,4,1
2014-01-25,48,27.0,53.0,30.19,1.0,5,1
2014-01-26,60,39.0,52.0,29.84,3.0,6,1
2014-01-27,47,23.0,44.0,30.09,9.0,0,1
2014-01-28,33,14.0,48.0,30.4,6.0,1,1
2014-01-29,38,13.0,42.0,30.41,5.0,2,1
2014-01-30,48,36.0,64.0,30.06,7.0,3,1
2014-01-31,68,54.0,64.0,29.87,9.0,4,1
2014-02-01,66,59.0,71.0,29.81,6.0,5,2
2014-02-02,45,33.0,69.0,30.09,11.0,6,2
2014-02-03,40,33.0,74.0,30.17,6.0,0,2
2014-02-04,53,41.0,68.0,29.95,2.0,1,2
2014-02-05,40,26.0,60.0,30.37,10.0,2,2
2014-02-06,29,15.0,54.0,30.48,8.0,3,2
2014-02-07,34,24.0,68.0,30.32,3.0,4,2
2014-02-08,51,36.0,63.0,30.17,5.0,5,2
2014-02-09,59,45.0,70.0,30.05,4.0,6,2
2014-02-10,48,36.0,74.0,30.15,9.0,0,2
2014-02-11,35,29.0,80.0,30.24,9.0,1,2
2014-02-12,45,29.0,57.0,30.18,5.0,2,2
2014-02-13,51,34.0,58.0,30.02,4.0,3,2
2014-02-14,67,37.0,51.0,29.93,6.0,4,2
2014-02-15,59,35.0,43.0,30.09,5.0,5,2
2014-02-16,68,57.0,74.0,30.01,5.0,6,2
2014-02-17,70,50.0,52.0,30.03,5.0,0,2
2014-02-18,69,53.0,55.0,30.0,4.0,1,2
2014-02-19,73,60.0,70.0,29.85,7.0,2,2
2014-02-20,70,50.0,48.0,29.85,8.0,3,2
2014-02-21,57,27.0,43.0,30.11,5.0,4,2
2014-02-22,63,46.0,53.0,29.96,6.0,5,2
2014-02-23,74,56.0,57.0,29.95,4.0,6,2
2014-02-24,66,51.0,65.0,30.04,4.0,0,2
2014-02-25,62,60.0,85.0,30.01,5.0,1,2
2014-02-26,44,33.0,63.0,30.18,8.0,2,2
2014-02-27,45,27.0,56.0,30.1,3.0,3,2
2014-02-28,62,46.0,60.0,29.85,6.0,4,2
2014-03-01,68,57.0,74.0,29.95,5.0,5,3
2014-03-02,51,45.0,79.0,30.05,10.0,6,3
2014-03-03,36,20.0,56.0,30.33,10.0,0,3
2014-03-04,40,31.0,72.0,30.18,4.0,1,3
2014-03-05,46,39.0,76.0,30.06,3.0,2,3
2014-03-06,54,38.0,62.0,30.18,4.0,3,3
2014-03-07,53,42.0,65.0,29.99,6.0,4,3
2014-03-08,52,49.0,88.0,30.09,4.0,5,3
2014-03-09,49,39.0,71.0,30.29,5.0,6,3
2014-03-10,61,51.0,69.0,30.08,3.0,0,3
2014-03-11,70,54.0,66.0,29.77,5.0,1,3
2014-03-12,60,28.0,36.0,30.13,11.0,2,3
2014-03-13,52,26.0,35.0,30.26,4.0,3,3
2014-03-14,62,51.0,68.0,30.04,5.0,4,3
2014-03-15,68,62.0,81.0,29.86,4.0,5,3
2014-03-16,56,45.0,66.0,29.9,11.0,6,3
2014-03-17,55,26.0,36.0,29.94,6.0,0,3
2014-03-18,65,42.0,49.0,29.74,8.0,1,3
2014-03-19,62,37.0,52.0,30.07,6.0,2,3
2014-03-20,59,36.0,52.0,30.15,2.0,3,3
2014-03-21,67,54.0,69.0,29.95,7.0,4,3
2014-03-22,69,62.0,80.0,29.95,4.0,5,3
2014-03-23,54,43.0,62.0,30.19,9.0,6,3
2014-03-24,58,42.0,58.0,30.14,3.0,0,3
2014-03-25,57,38.0,61.0,30.24,5.0,1,3
2014-03-26,60,47.0,57.0,30.08,10.0,2,3
2014-03-27,72,63.0,78.0,29.83,8.0,3,3
2014-03-28,76,61.0,64.0,29.79,5.0,4,3
2014-03-29,64,40.0,43.0,30.18,5.0,5,3
2014-03-30,62,43.0,56.0,30.13,8.0,6,3
2014-03-31,73,57.0,65.0,29.93,9.0,0,3
2014-04-01,76,64.0,71.0,29.92,8.0,1,4
2014-04-02,76,67.0,78.0,29.8,9.0,2,4
2014-04-03,77,67.0,74.0,29.74,7.0,3,4
2014-04-04,64,35.0,58.0,30.03,8.0,4,4
2014-04-05,60,38.0,48.0,29.99,4.0,5,4
2014-04-06,57,49.0,76.0,29.81,5.0,6,4
2014-04-07,62,49.0,69.0,29.92,3.0,0,4
2014-04-08,64,38.0,57.0,30.14,8.0,1,4
2014-04-09,65,42.0,51.0,30.17,6.0,2,4
2014-04-10,72,53.0,59.0,30.01,10.0,3,4
2014-04-11,73,59.0,65.0,29.98,8.0,4,4
2014-04-12,75,62.0,66.0,29.91,10.0,5,4
2014-04-13,73,66.0,79.0,29.76,7.0,6,4
2014-04-14,58,46.0,65.0,29.96,10.0,0,4
2014-04-15,52,25.0,39.0,30.27,4.0,1,4
2014-04-16,57,40.0,56.0,30.06,7.0,2,4
2014-04-17,62,57.0,85.0,30.09,4.0,3,4
2014-04-18,69,57.0,68.0,30.17,2.0,4,4
2014-04-19,66,54.0,68.0,30.12,5.0,5,4
2014-04-20,68,59.0,77.0,30.1,6.0,6,4
2014-04-21,74,63.0,72.0,30.01,5.0,0,4
2014-04-22,75,58.0,61.0,29.96,3.0,1,4
2014-04-23,73,61.0,68.0,29.85,7.0,2,4
2014-04-24,78,62.0,63.0,29.82,5.0,3,4
2014-04-25,76,54.0,51.0,29.92,6.0,4,4
2014-04-26,77,66.0,73.0,29.78,8.0,5,4
2014-04-27,85,66.0,51.0,29.55,6.0,6,4
2014-04-28,80,39.0,39.0,29.61,4.0,0,4
2014-04-29,72,34.0,36.0,29.77,7.0,1,4
2014-04-30,66,33.0,32.0,30.08,6.0,2,4
2014-05-01,65,33.0,39.0,30.12,3.0,3,5
2014-05-02,70,35.0,33.0,30.02,3.0,4,5
2014-05-03,76,35.0,27.0,30.0,4.0,5,5
2014-05-04,76,37.0,27.0,30.02,7.0,6,5
2014-05-05,76,56.0,61.0,29.91,8.0,0,5
2014-05-06,76,62.0,66.0,29.81,9.0,1,5
2014-05-07,79,64.0,65.0,29.81,9.0,2,5
2014-05-08,79,70.0,75.0,29.81,8.0,3,5
2014-05-09,76,68.0,69.0,29.89,5.0,4,5
2014-05-10,76,62.0,71.0,29.84,6.0,5,5
2014-05-11,83,67.0,63.0,29.77,10.0,6,5
2014-05-12,72,70.0,87.0,29.84,7.0,0,5
2014-05-13,61,54.0,73.0,30.09,8.0,1,5
2014-05-14,64,43.0,57.0,30.24,7.0,2,5
2014-05-15,65,41.0,55.0,30.22,3.0,3,5
2014-05-16,74,43.0,40.0,30.06,7.0,4,5
2014-05-17,73,55.0,58.0,29.97,9.0,5,5
2014-05-18,74,59.0,67.0,30.03,8.0,6,5
2014-05-19,76,61.0,65.0,30.0,10.0,0,5
2014-05-20,78,62.0,63.0,30.01,9.0,1,5
2014-05-21,80,64.0,61.0,30.02,8.0,2,5
2014-05-22,79,65.0,70.0,30.05,7.0,3,5
2014-05-23,78,67.0,69.0,30.03,6.0,4,5
2014-05-24,78,68.0,79.0,29.99,7.0,5,5
2014-05-25,80,66.0,66.0,29.98,6.0,6,5
2014-05-26,70,65.0,83.0,30.0,5.0,0,5
2014-05-27,68,64.0,86.0,29.95,3.0,1,5
2014-05-28,76,66.0,74.0,29.88,4.0,2,5
2014-05-29,78,63.0,66.0,29.85,2.0,3,5
2014-05-30,81,65.0,60.0,29.82,3.0,4,5
2014-05-31,82,67.0,63.0,29.85,3.0,5,5
2014-06-01,80,69.0,69.0,29.9,4.0,6,6
2014-06-02,83,69.0,67.0,29.91,7.0,0,6
2014-06-03,83,70.0,67.0,29.96,6.0,1,6
2014-06-04,83,70.0,70.0,29.86,7.0,2,6
2014-06-05,83,70.0,72.0,29.82,7.0,3,6
2014-06-06,83,70.0,70.0,29.88,7.0,4,6
2014-06-07,83,70.0,71.0,29.89,7.0,5,6
2014-06-08,83,70.0,67.0,29.88,7.0,6,6
2014-06-09,77,71.0,78.0,29.81,4.0,0,6
2014-06-10,78,61.0,64.0,29.85,3.0,1,6
2014-06-11,80,66.0,64.0,29.83,5.0,2,6
2014-06-12,80,72.0,68.0,29.82,8.0,3,6
